Institution,Amount,canton
Laboratoire de physique de la matière vivante EPFL - SB - IPSB - LPMV,23.0,address unfound
Laboratoire de systèmes répartis Institut d'informatique fondamentale LSR - IIF - IC - EPFL,43.5,VD
Laboratories for Nanobiology Graduate School of Frontier Biosciences Osaka University,1.82,address unfound
Laboratorium für Festkörperphysik ETH Zürich,55.0,ZH
"Laboratorium für Klinische Experimental Immunologie Kantonsspital, Departement Forschung",150.0,address unfound
Laboratorium für Kristallographie ETH Zürich,8.04,ZH
Laboratorium für Organische Chemie ETH Zürich,10.01,ZH
Laboratory of Cellular Carcinogenesis Center for Cancer Research National Cancer Insitute,12.2,address unfound
Laboratory of Physiology Institute for Cardiovascular Research ICAR-V VU University medical center,7.5,address unfound
Lamont-Doherty Earth Observatory Columbia University,8.09,address unfound
Landcare Research,8.8,address unfound
"Law School Boalt Hall, University of California",6.0,Institution not in Switzerland
Lawrence Berkeley Laboratories Advanced Light Source,8.1,address unfound
Lawrence Berkeley National Lab. Energy & Environment Div.,13.776,address unfound
Lehrstuhl für Logistikmanagement Universität St. Gallen,4.43,SG
Lehrstuhl für Organisationspsychologie Universität St. Gallen,5.55,SG
Lehrstuhl für Religionswissenschaft II Universität Bayreuth,29.55,Institution not in Switzerland
Limnologische Station Institut für Pflanzenbiologie Universität Zürich,5.140000000000001,ZH
Littérature et Langue française Université Paris-Sorbonne - Paris IV,27.1,address unfound
Lomonosov State University,4.2,address unfound
MTEC ETH Zürich,3.8,ZH
Marine Biological Association Laboratory,4.4,address unfound
Max Planck Institute for Chemical Ecology Beutenberg Campus,11.01,address unfound
Max-Planck-Institut für Pflanzenzüchtungsforschung,102.3,address unfound
Max-Planck-Institut für ausländisches und internationales Privatrecht,11.0,address unfound
Medizinische Universitätsklinik Kantonsspital Bruderholz,150.0,address unfound
"Mobile Life Research Center Computer and Systems Department Royal Institute of Technology, Uni Stockholm",11.15,Institution not in Switzerland
Monash University,5.0,Institution not in Switzerland
Monumenta Germaniae Historica,6.125,address unfound
Musikwissenschaftliches Institut Universität Zürich,7.29,ZH
NCCR Nanoscale Science Universität Basel,58.0,address unfound
NCCR Structural Biology Institut für Biochemie Universität Zürich,9.3,ZH
Nara Institute of Science and Technology (NAIST),2.5,Institution not in Switzerland
National Bowel Research Centre Blizard Institute Queen Mary University London,9.3,Institution not in Switzerland
National Railway Museum Institute of Railway Studies,167.62,address unfound
Neurologische Klinik Universitätsspital Zürich,180.0,ZH
Neuropsychologische Abteilung Neurologische Klinik Universitätsspital Zürich,8.1,ZH
Neutron Capture Radiography Paul Scherrer Institute,2.55,address unfound
Norris Comprehensive Cancer Center University of South California,12.2,Institution not in Switzerland
Oberflächentechnik ETH Zürich,12.9,ZH
Observatoire Cantonal de Neuchâtel,7.2,NE
Organisch-chemisches Institut Universität Zürich,24.4,ZH
Organische Chemie Departement Chemie Universität Basel,182.72199999999998,BS
Pain and Palliative Care Society University Medical College,9.72,address unfound
Paul Scherrer Institut,139.31,AG
Persönlichkeitspsychologie und Diagnostik Psychologisches Institut Universität Zürich,12.43,ZH
Philosophisches Seminar Universität Basel,17.8,BS
Physics Department National Tsing Hua University,2.0,Institution not in Switzerland
Physikalische Chemie Departement Chemie Universität Basel,58.74,BS
Physiologisches Institut Universität Zürich,303.525,ZH
Polar Climate Center Korea Polar Research Institute,5.22,address unfound
Political Communication Laboratory Department of Communication Stanford University,12.8,Institution not in Switzerland
Politikwissenschaftliches Seminar der Universität Luzern,287.361,LU
Princeton Theological Seminary,4.0,address unfound
Pro Grigioni Italiano,2.81,address unfound
Projekte + Ausbildung Soziales Gesundheit Rehabilitation,9.82,address unfound
Psychologisches Institut Universität Zürich Klinische Psychologie,11.0,address unfound
Psychopathologie Psychologisches Institut Universität Zürich,7.96,ZH
Psychotherapeutische Abteilung Universitäre Psychiatrische Kliniken UPK,12.6,address unfound
Pädagogisches Institut Universität Zürich,7.25,ZH
"Research Centre for Phenomenology and Human Sciences, Institute of Humanities The Chinese University of Hong Kong",6.5,Institution not in Switzerland
Romanisches Seminar Universität Zürich,10.81,ZH
Royal Holloway University of London,2.8,address unfound
Rudjer Boskovic Institute Departmnet of Molecular Medicine,50.0,address unfound
SEMLAB Center for Study of Language and Information University of Stanford,5.525,Institution not in Switzerland
SSED FPSE Université de Genève,8.0,GE
School of Biological Sciences Monash University,12.9,address unfound
School of Chemistry University of New South Wales,11.0,Institution not in Switzerland
School of Communication Ohio State University,9.21,address unfound
School of Computer Science Carnegie-Mellon University,9.1,Institution not in Switzerland
School of Geographical Sciences University of Bristol,9.5,Institution not in Switzerland
School of Physical Sciences Jawaharlal Nehru University,5.2,Institution not in Switzerland
School of Politics & International Relations Rutherford College University of Kent,7.51,address unfound
School of Social Sciences,11.59,Institution not in Switzerland
Schweiz. Institut für Klein- und Mittelunternehmen (KMU-HSG) Universität St. Gallen,8.87,SG
Schweizerisches Institut für Empirische Wirtschaftsforschung (SEW-HSG),5.03,address unfound
Section d'Histoire Faculté des Lettres Université de Lausanne,5.61,VD
Section de Philosophie Faculté des Lettres Université de Lausanne,22.18,VD
Section de langues et civilisations slaves Faculté des lettres Université de Lausanne,71.97999999999999,VD
Section de philosophie et d'histoire Faculté des lettres Université de Genève,3.5,GE
Section des Sciences de la Terre et de l'environnement Université de Genève,13.2,GE
Seminar für Angewandte Mathematik ETH Zürich,5.61,ZH
Seminar für Deutsche Philologie Georg-August-Universität Göttingen,11.625,Institution not in Switzerland
Seminar für Klassische Philologie Georg-August-Universität,10.9,address unfound
Seminar für Privatrecht und Allgemeine Einführung,5.87,address unfound
Service d'Immunologie et d'Allergologie Département de Médecine Interne Hôpitaux Universitaires de Genève,130.0,GE
Service de Cardiologie Département de Médecine Interne Hôpitaux Universitaires de Genève,180.0,GE
Service de Médecine Préventive Hospitalière CHUV,24.0,address unfound
Service de Neurochirurgie CHUV,11.04,address unfound
Service de Radio-Oncologie CHUV,180.0,address unfound
Service des Maladies Infectieuses Département de Médecine Interne CHUV,150.0,address unfound
Service des Maladies Infectieuses Département de Médecine Interne Hôpital Cantonal - HUG,120.0,address unfound
Sezione di Farmacol. Cellulare e Molecolare Istit. di neuroscienze CNR Università Milano,0.1,Institution not in Switzerland
Soziologisches Seminar Universität Luzern,7.0,LU
St. Petersburg Nuclear Physics Institute,26.0,Institution not in Switzerland
Stanford Law School Stanford University,5.15,Institution not in Switzerland
Station fédérale de recherches agronomiques de Changins,4.05,address unfound
Stiftung Bibliothek Werner Oechslin,9.3,address unfound
Sucht Schweiz,4.12,address unfound
Swiss HIV cohort study Data Center CHUV,3.5,address unfound
Swiss Tropical and Public Health Institute Medical Services and Diagnostic Universität Basel,5.04,address unfound
Synchrotron Radiation Research Center Japan Atomic Energy Research Institute,0.91,address unfound
Tahoe Environmental Research Center University of California,12.5,Institution not in Switzerland
The Forsyth Institute Department of Microbiology Lemon Lab,7.0,address unfound
The Hospital for Sick Children,12.65,Institution not in Switzerland
Theologische Fakultät Universität Basel,1.4,BS
Theory Division CERN,46.0,address unfound
Tokyo Institute of Technology Department of Chemical Technology,2.02,Institution not in Switzerland
Transplantationsimmunologie und Nephrologie Universitätsspital Basel,180.0,BS
UBC Inversion Facility Earth and Ocean Sciences University of British Columbia,12.45,Institution not in Switzerland
UMR 5225 CNRS/Université de Bourgogne IREDU Université de Bourgogne France,10.8,Institution not in Switzerland
UMR 6578 CNRS Unité d'anthropologie Faculté de Médecine Université de la Méditerranée,12.71,address unfound
UNI: AO Research Institute   Davos CH,6.746,GR
UNI: Academia Sinica Astronomical Observator y  Beijing VRC,2.5,address unfound
UNI: Academia Sinica Institute of Botany Nan kang Taipei RC,5.2,address unfound
UNI: Academia Sinica Taiwan   Taipei RC,20.0,address unfound
UNI: Acaédemie des Sciences Institut de Phil osophie  Leningrad UDSSR,1.42,address unfound
UNI: Akademie der Wissenschaften   Budapest H,1.2,address unfound
UNI: Albert-Ludwigs-Universität Institut für Biologie II/Biochemie  Freiburg D,104.13,address unfound
UNI: Animal Health Trust Centre for Preventi ve Medicine  Newmarket GB,3.855,Institution not in Switzerland
UNI: Architectural Association School of Arc hitecture  London GB,0.5,Institution not in Switzerland
UNI: Archivio cantonale   Bellinzona CH,1.87,TI
UNI: Associazione pro Grigione Italiano-PGI Firenze I,0.18,address unfound
UNI: Astronomical Observatory Chinese Academ y of Sciences  Beijing VRC,1.9,address unfound
UNI: Avalanche Information Service   Inverne ss-shire GB,2.162,address unfound
UNI: BIGA   Bern CH,3.0,BE
UNI: BIGA Zentralstelle für regionale Wirt- schaftsförderung Bern CH,1.4,BE
UNI: Basel Mission Archiv  Basel CH,35.4,address unfound
UNI: Basel Universität   Basel CH,3.74,BS
UNI: Bedford GB,0.745,Institution not in Switzerland
UNI: Berlin D-O,0.33,Institution not in Switzerland
UNI: Bibliotheca Hertziana   Roma I,0.2,address unfound
UNI: Bibliotheca Hertziana Max-PLanck-Instit ut  Roma I,0.5,address unfound
UNI: Bibliotheca Hertziana Max-Planck-Instit ut  Rom I,0.2,address unfound
UNI: Bibliothèque Bodmer  Cologny CH,2.184,GE
UNI: Bibliothèque nationale de France Dépt d es manuscrits occidentaux Paris F,10.66,address unfound
UNI: Bibliothèque publique et universitaire Genève CH,8.184000000000001,GE
UNI: Bibliothèque publique et universitaire de Genève  Genève CH,1.56,GE
UNI: Blood Transfusion Department Petrov Ins titute of Oncology  St. Petersburg RUS,0.82,address unfound
UNI: Blutspendedienst SRK Zentrallaboratoriu m  Bern CH,1.2,BE
UNI: Boston USA,10.0,Institution not in Switzerland
UNI: British Antarctic Survey  Cambridge GB,107.61,Institution not in Switzerland
UNI: Brunel University Department of Electri cal Engineering and Electronics Uxbridge GB,0.5,Institution not in Switzerland
UNI: Budapest University of Economic Science s  Budapest H,3.5,address unfound
UNI: Bureau Intern. du Travail Département d e la sécurité sociale  Genève CH,5.61,GE
"UNI: CABI Bioscience (Ascot) Environment UK Centre Ascot, Berkshire GB",3.273,Institution not in Switzerland
UNI: CAST   Beijing VRC,2.3,address unfound
UNI: CEFE CNRS  Montpellier F,130.75,address unfound
UNI: CERN   Genève CH,18.0,GE
UNI: CERN / Organisation Européenne pour la recherche Nucléaire Genève CH,14.4,GE
UNI: CERN Division ECP Genève CH,14.4,GE
UNI: CERN Laboratoire de Physiologie Neurose n- sorielle Paris F,5.148,address unfound
UNI: CERN-TH Division   Genève CH,42.0,GE
UNI: CIRSEE Centre International de Recherch e sur l'Eau et l'Environnement Le Pecq F,9.56,address unfound
UNI: CNRS  Montpellier F,103.18,address unfound
UNI: CNRS Dépt des Sciences de l'Homme et de la Société Paris F,1.362,address unfound
UNI: CNRS Histoire sociale  Paris F,7.12,address unfound
UNI: CNRS Institut Historique Allemand  Pari s F,0.74,address unfound
"UNI: CNRS Institut Pasteur 28, rue du Dr. Ro ux Paris F",105.28,address unfound
UNI: CNRS Institut des Sciences Végétales  G if-sur-Yvette F,182.2,address unfound
UNI: CNRS Laboratoire d'études des propriété s électroniques des solides LEPES Grenoble F,7.2,address unfound
UNI: CNRS Laboratoire de Génétique des Virus Gif-sur-Yvette F,92.6,address unfound
UNI: CNRS Laboratoire de physiologie Collège de France Paris F,18.0,address unfound
UNI: CNRS Ministre de l'Enseignement superie ur  Paris F,0.5,address unfound
UNI: CSIC Centro Nacional de Biotecnologia D epartment of Immunology and Oncology Madrid E,129.7,address unfound
UNI: Central Public Health Lab. NCTC Molecul ar Genetics Unit  London GB,0.38,Institution not in Switzerland
UNI: Central Saint Martins College of Arts & Design School of Graphic and Industrial Des ign London GB,0.5,Institution not in Switzerland
UNI: Centre Scientifique d'Orsay Insitut d'O ptique Théorique et Appliquée Orsay F,6.2,address unfound
UNI: Centre de Recherche sur les Maladies Au toimmune Groupe Hospitalier Necker Paris F,105.6,address unfound
UNI: Centre sociologie européenne   Paris F,9.2,address unfound
UNI: Centro de investigaciones biologicas  M adrid E,11.15,address unfound
UNI: Centro di Studio Sui Bio- polimeri Dipa rtimento di Chimica Organica Padova I,0.28,address unfound
UNI: Chiang Ching-kuo Fondation   Taipei RC,10.0,address unfound
UNI: Chinese Academy of Sciences Changchun I nstitute of Applied Chemistry Changchun VRC,2.2,address unfound
UNI: Chukyo University School of Psychology J,2.1,address unfound
UNI: City Hospital Department of Urology  No ttingham GB,2.07,address unfound
UNI: City University Department of Psycholog y  London GB,2.035,Institution not in Switzerland
UNI: Civil and Environmental Engineering  St anford USA,9.91,address unfound
UNI: Commissione Svizzera Ricerca del Quater nario  Morbio Inferiore CH,5.61,TI
UNI: Commissione Svizzera per la Ricerca del Quaternario Morbio Inferiore CH,5.61,TI
UNI: Cranfield University School of Manageme nt  Bedford GB,1.0,Institution not in Switzerland
UNI: Czech Technical University Faculty of E lectrical Engineering  Prag TS,15.0,address unfound
UNI: DANI Veterinary Sciences Division  Belf ast GB,5.151,address unfound
UNI: Departement of Environmental Microbiolo gy Dübendorf CH,3.5,ZH
UNI: Department of Chemistry and Biochemistr y Bern CH,13.0,BE
UNI: Department of Pathology University Medi cal Buildings  Aberdeen GB,1.9,Institution not in Switzerland
"UNI: Department of Physiology, University of Basel 4051 Basel CH",12.5,BS
UNI: Dept of Geography and Geology Cheltenha m and Gloucester College of Higher Education Cheltenham GB,0.756,Institution not in Switzerland
UNI: Dept. of Computer Science   Turku SF,85.3,Institution not in Switzerland
UNI: Dr. P. Manternach   Untersiggenthal CH,3.0,AG
UNI: Dübendorf CH,11.8,ZH
UNI: EAWAG  8600 Dübendorf CH,2.39,ZH
UNI: EMBL   Heidelberg D,92.0,address unfound
UNI: EMPA  Dübendorf CH,3.8,ZH
UNI: EPF Département de Physique  Lausanne C H,1.87,VD
UNI: EPF-L Institut de Physique Appliquée  E cublens CH,1.8,address unfound
UNI: EPF-L Institut de statique et structure s  Lausanne CH,7.2,VD
UNI: EPF-Lausanne Département de Physique  L ausanne CH,3.74,address unfound
UNI: EPF-Lausanne Département de chimie  Lau sanne CH,50.772,address unfound
"UNI: EPF-Lausanne Département de physique, o ptoélectroni- que quantique Lausanne CH",1.87,VD
"UNI: EPF-Lausanne Département de physique, o troélectroni- que quantique Lausanne CH",3.74,VD
UNI: EPF-Lausanne Départment de Chimie  Laus anne CH,1.237,address unfound
UNI: EPF-Lausanne IMHEF  Lausanne CH,5.61,VD
UNI: EPF-Lausanne IRRMA  Lausanne CH,13.09,VD
UNI: EPF-Lausanne Institut de Machines Hydra uliques et de Mécanique des Fluides Lausanne CH,11.22,VD
UNI: EPF-Lausanne Institut de microtechnique Lausanne CH,1.87,VD
UNI: EPF-Lausanne Institut de physique appli quée  Lausanne CH,9.350000000000001,VD
UNI: EPF-Lausanne Istituto di Fisica Applica ta  Lausanne CH,1.87,VD
UNI: EPF-Lausanne Laboratoire de métallurgie physique  Lausanne CH,14.4,VD
UNI: EPFL   Lausanne CH,1.87,VD
UNI: EPFL  1015 Lausanne CH,12.9,VD
UNI: EPFL  Lausanne CH,13.77,VD
UNI: EPFL Département des Matériaux Laborato ire de Technologie Lausanne CH,22.8,VD
UNI: EPFL Dépt. de Génie Civil  Lausanne CH,0.97,VD
UNI: EPFL Institut de Génie Atomique  Lausan ne CH,31.2,NE
UNI: EPFL Institut de chimie physique  Lausa nne CH,13.2,address unfound
UNI: EPFL Institut de physique expérimentale Lausanne CH,9.36,VD
UNI: ESRF European Synchrotron Radiation Fac ility  Grenoble F,10.623,address unfound
UNI: ETH   Zürich CH,40.0,ZH
UNI: ETH  Zürich CH,21.0,ZH
UNI: ETH-Hönggerberg Institut für Biophysik Zürich CH,43.18,ZH
UNI: ETH-Z Mikrobiologisches Institut  Züric h CH,9.36,address unfound
UNI: ETH-Zentrum Institut für Geschichte  Zü rich CH,2.1,address unfound
UNI: ETH-Zürich   Zürich CH,59.985,ZH
UNI: ETH-Zürich Analytische Chemie  Zürich C H,50.772,ZH
UNI: ETH-Zürich Dept. Chemie  Zürich CH,50.772,ZH
UNI: ETH-Zürich IPS-Interdisciplinary Projec t Center for Supercomputing Zürich CH,6.0,ZH
UNI: ETH-Zürich Insitut für Baustatistik und Konstruktion Zürich CH,21.0,ZH
UNI: ETH-Zürich Institut für Angewandte Phys ik  Zürich CH,5.61,ZH
UNI: ETH-Zürich Institut für Baustoffe  Züri ch CH,50.0,address unfound
UNI: ETH-Zürich Institut für Biochemie  Züri ch CH,3.8,address unfound
UNI: ETH-Zürich Institut für Biotechnologie Zürich CH,2.6,ZH
